"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_examine_photo","Examine Photo","Examine Photo","Prozkoumat fotografii","Foto untersuchen","Посмотреть фото","Sprawdź zdjęcie","Examine Photo","Esamina foto","Examinar foto","Explorez la photo","检查照片","Examine Photo","Examinar foto","檢查照片",
"TR_photo","Photo","Photo","Fotografie","Foto","фотография","Zdjęcie","Photo","Foto","Foto","La photo","照片","Photo","Foto","照片",
"TR_photo_description","An old Photo","An old Photo","Nějaká stará fotografie","Ein altes Foto","какое-то старое фото","Stare zdjęcie","An old Photo","Una vecchia foto","Foto antigua","Une vieille photo","旧照片","An old Photo","Foto antiga","舊照片",
"TR_examine_paper","original","english","Prozkoumat papír","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_map_part_description","original","english","Na papíře je něco napsáno, ale nedává to smysl.","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_map_part_incomplete_description","original","english","Text stále nedává smysl, je třeba doplnit zbývající části.","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_map_incomplete_description","original","english","Text je téměř kompletní, je třeba doplnit zbývající části.","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_map_description","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_map","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"TR_metal_detector","Metal Detector","Metal Detector","Detektor kovů","Metalldetektor","металлоискатель","wykrywacz metali","hungarian","metal detector","detector de metales","Détecteur de métaux","金屬探測器","japanese","Detector de metais","金屬探測器",
"TR_metal_detector_description","This metal detector has been developed especially for professional mine clearance as part of military and humanitarian assignments. It has been proven to be a highly reliable and mechanically rugged tool for a wide variety of tasks around the globe.","This metal detector has been developed especially for professional mine clearance as part of military and humanitarian assignments. It has been proven to be a highly reliable and mechanically rugged tool for a wide variety of tasks around the globe.","Tento detektor kovů byl vyvinut speciálně pro profesionální odminování jako součást vojenských a humanitárních úkolů. Ukázalo se, že se jedná o vysoce spolehlivý a mechanicky odolný nástroj pro celou řadu úkolů po celém světě.","Dieser Metalldetektor wurde speziell für die professionelle Minenräumung im Rahmen militärischer und humanitärer Aufgaben entwickelt. Es hat sich als äußerst zuverlässiges und mechanisch robustes Werkzeug für eine Vielzahl von Aufgaben auf der ganzen Welt erwiesen.","Этот металлоискатель был разработан специально для профессионального разминирования как часть военных и гуманитарных задач. Было доказано, что он является высоконадежным и надежным инструментом для решения самых разных задач по всему миру.","Ten wykrywacz metalu został opracowany specjalnie do profesjonalnego usuwania min w ramach zadań wojskowych i humanitarnych. Udowodniono, że jest to wysoce niezawodne i wytrzymałe mechanicznie narzędzie do szerokiej gamy zadań na całym świecie.","hungarian","Questo metal detector è stato sviluppato appositamente per lo sminamento professionale da miniera nell'ambito di incarichi militari e umanitari. È stato dimostrato di essere uno strumento altamente affidabile e meccanicamente robusto per una vasta gamma di attività in tutto il mondo.","Este detector de metales ha sido desarrollado especialmente para la limpieza profesional de minas como parte de tareas militares y humanitarias. Se ha demostrado que es una herramienta altamente confiable y mecánicamente resistente para una amplia variedad de tareas en todo el mundo.","Ce détecteur de métaux a été développé spécialement pour le déminage professionnel dans le cadre de missions militaires et humanitaires. Il s'est avéré être un outil très fiable et robuste mécaniquement pour une grande variété de tâches à travers le monde.","這種金屬探測器是專門為軍事和人道主義任務的一部分而專門用於掃雷的。 它已被證明是一種高度可靠且堅固耐用的工具，可用於全球範圍內的各種任務。","japanese","Este detector de metais foi desenvolvido especialmente para a remoção profissional de minas em missões militares e humanitárias. Provou ser uma ferramenta altamente confiável e mecanicamente robusta para uma ampla variedade de tarefas em todo o mundo.","這種金屬探測器是專門為軍事和人道主義任務的一部分而專門用於掃雷的。 它已被證明是一種高度可靠且堅固耐用的工具，可用於全球範圍內的各種任務。",
"STR_treasure_overview","This mod add treasures to map. Everything is configurable from server side.","This mod add treasures to map. Everything is configurable from server side.","Tento mód přidává poklady na mapu. Všechno je konfigurovatelné ze strany serveru.","Dieser Mod fügt der Karte Schätze hinzu. Alles ist vom Server aus konfigurierbar.","Этот мод добавляет сокровища на карту. Все настраивается со стороны сервера.","Ten mod dodaje skarby do mapy. Wszystko jest konfigurowalne od strony serwera.","Ez a mod kincseket ad hozzá a térképhez. Minden konfigurálható szerver oldalról.","Questa mod aggiunge tesori alla mappa. Tutto è configurabile dal lato server.","Este mod agrega tesoros al mapa. Todo es configurable desde el lado del servidor.","Ce mod ajoute des trésors à la carte. Tout est configurable côté serveur.","這個國防部添加寶藏到地圖。 一切都可以從服務器端進行配置。","japanese","Esse mod permite adicionar tesouros ao redor do mapa. Todas as opções são configuradas no lado do servidor.","这个国防部添加宝藏到地图。 一切都可以从服务器端进行配置。",
